#open, high, low, volume, close
307500,309000,302500,181154,306500
304000,309000,302000,265389,304500
305000,311500,304500,441286,311000
314000,316500,311000,219926,315000
319000,319000,312000,149289,313000
316000,319500,314000,225689,319000
320000,320000,315000,178611,319000
322000,322000,310500,276873,313500
318000,318000,312000,149220,317000
319000,319000,316000,121263,318000
319000,319000,311500,123369,315500
313000,315000,303500,397309,305000
301000,304000,297500,351970,299500
300500,316000,300000,357877,313000
315000,315500,309500,162235,315500
313000,315500,310000,193357,312000
309500,312000,305000,223661,308000
305500,314500,305500,191856,307500
308000,314500,308000,152365,313500
309500,314000,303000,236832,304000
303000,303000,294000,274161,296500
298000,299500,293500,150822,295500
301000,304500,300000,237849,304000
303000,305000,302500,109381,303000
310000,312000,300000,238638,301500
303000,307500,303000,200060,307000
301500,307000,301500,185689,307000
313500,319500,313500,429212,319500
324500,325000,319500,377669,321000
324500,324500,321500,138365,323000
323500,323500,315500,199952,319000
322000,322500,313500,206831,318000
316000,320000,314500,159400,318500
318000,318000,308500,155618,316000
316000,320500,313000,114426,320500
314500,320000,313000,126843,316500
310000,320500,309500,162698,316000
316000,319000,308000,263613,310500
310500,310500,305000,234659,307000
305000,311500,305000,200837,306500
307500,313000,307500,218869,310000
311500,312000,306000,97619,308000
306500,310500,304500,109100,304500
310000,310500,305500,156881,306500
305500,310500,301000,185014,302500
305500,307500,301000,124917,302500
306000,306500,293500,232464,297000
300000,303000,299000,139117,300000
300000,302500,295000,221761,297500
300000,307500,298500,183494,305500
306500,312500,299500,291440,301500
295500,300000,295000,120224,297500
297500,298500,288000,139989,291500
287000,289000,277000,308526,279000
277000,288500,272000,387788,286500
285500,288000,271500,262434,277000
277500,279500,266000,358749,269000
267000,279000,267000,230281,273500
276500,282000,276000,127902,278000
272500,275500,265000,423505,269000
275000,276500,270500,301533,270500
263500,264500,258000,466936,259500
260000,269500,259500,308440,268000
272000,274500,268000,238082,271000
268500,275500,268000,229989,273500
266000,267500,259500,302334,266000
268000,275000,265500,154077,271500
275500,275500,269500,132015,271500
268000,274000,268000,134400,273000
270000,274000,267500,128357,268500
265500,274000,265500,173269,271000
271500,273500,266500,103623,271500
274000,275000,265500,190715,267500
268500,268500,261000,202137,264500
264500,266000,261000,147062,263500
261500,270000,261000,200304,267000
264500,272000,264000,145433,269500
272000,287500,271500,367505,284500
284500,286500,280500,237565,282000
287000,295000,285500,296118,291000
